City	Edition	Sport	Discipline		NOC	Gender		Event_gender	Medal
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GRE	Men		M	Silver
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Bronze
Athens	1896	Gymnastics	Artistic G.		GER	Men		M	Gold
Athens	1896	Gymnastics	Artistic G.		SUI	Men		M	Silver
Athens	1896	Shooting	Shooting		GRE	Men		M	Bronze
Athens	1896	Shooting	Shooting		USA	Men		M	Gold
Athens	1896	Shooting	Shooting		USA	Men		M	Silver
Athens	1896	Shooting	Shooting		DEN	Men		M	Bronze
Athens	1896	Shooting	Shooting		GRE	Men		M	Gold
Athens	1896	Shooting	Shooting		GRE	Men		M	Silver
Athens	1896	Shooting	Shooting		GRE	Men		M	Bronze
Athens	1896	Shooting	Shooting		USA	Men		M	Gold
Athens	1896	Shooting	Shooting		DEN	Men		M	Silver
Athens	1896	Shooting	Shooting		GRE	Men		M	Bronze
Athens	1896	Shooting	Shooting		GRE	Men		M	Gold
Athens	1896	Shooting	Shooting		GRE	Men		M	Silver
Athens	1896	Shooting	Shooting		DEN	Men		M	Bronze
Athens	1896	Shooting	Shooting		GRE	Men		M	Gold
Athens	1896	Shooting	Shooting		GRE	Men		M	Silver
Athens	1896	Tennis	Tennis		ZZX	Men		M	Bronze
Athens	1896	Tennis	Tennis		ZZX	Men		M	Bronze
Athens	1896	Tennis	Tennis		ZZX	Men		M	Gold
Athens	1896	Tennis	Tennis		ZZX	Men		M	Gold
Athens	1896	Tennis	Tennis		ZZX	Men		M	Silver
Athens	1896	Tennis	Tennis		ZZX	Men		M	Silver
Athens	1896	Tennis	Tennis		GRE	Men		M	Bronze
Athens	1896	Tennis	Tennis		HUN	Men		M	Bronze
Athens	1896	Tennis	Tennis		GBR	Men		M	Gold
Athens	1896	Tennis	Tennis		GRE	Men		M	Silver
Athens	1896	Weightlifting	Weightlifting		GRE	Men		M	Bronze
Athens	1896	Weightlifting	Weightlifting		GBR	Men		M	Gold
Athens	1896	Weightlifting	Weightlifting		DEN	Men		M	Silver
Athens	1896	Weightlifting	Weightlifting		GRE	Men		M	Bronze
Athens	1896	Weightlifting	Weightlifting		DEN	Men		M	Gold
Athens	1896	Weightlifting	Weightlifting		GBR	Men		M	Silver
Athens	1896	Wrestling	Wrestling Gre-R		GRE	Men		M	Bronze
Athens	1896	Wrestling	Wrestling Gre-R		GER	Men		M	Gold
Athens	1896	Wrestling	Wrestling Gre-R		GRE	Men		M	Silver
Paris	1900	Aquatics	Swimming		HUN	Men		M	Bronze
Paris	1900	Aquatics	Swimming		GBR	Men		M	Gold
Paris	1900	Aquatics	Swimming		AUT	Men		M	Silver
Paris	1900	Aquatics	Swimming		NED	Men		M	Bronze
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		AUT	Men		M	Silver
Paris	1900	Aquatics	Swimming		AUT	Men		M	Bronze
Paris	1900	Aquatics	Swimming		AUS	Men		M	Gold
Paris	1900	Aquatics	Swimming		HUN	Men		M	Silver
Paris	1900	Aquatics	Swimming		GBR	Men		M	Bronze
Paris	1900	Aquatics	Swimming		AUS	Men		M	Gold
Paris	1900	Aquatics	Swimming		AUT	Men		M	Silver
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		GER	Men		M	Gold
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
